"Envelope_ID","PopName","Pop_ID","PopCode2.x","Date_collected","stems","Clump_size","Notes","Type","Flower_number2","Fruit2","Total_seeds_counted","max_fruit","solo_fruit_count","seed_counted_in_solo_fruit","var_seeds","stdev_seeds","Seeds_per_fruit","PopCode2.y","Lat","Long","L","M","S"
"650","Hindon bog","M6","ON.M6",2015-10-24,"1",NA,NA,"M",3,0,0,"0",1,0,NA,NA,0,NA,NA,NA,NA,NA,NA
"638","Hindon bog","M6","ON.M6",2015-10-24,"1",NA,NA,"M",2,0,0,"2",2,0,0,0,0,NA,NA,NA,NA,NA,NA
"587","Hindon bog","M6","ON.M6",2015-10-24,"1",NA,NA,"M",11,0,0,"5",5,0,0,0,0,NA,NA,NA,NA,NA,NA
"467","Hindon bog","M6","ON.M6",2015-10-24,"1",NA,NA,"M",2,0,0,"2",0,0,NA,NA,0,NA,NA,NA,NA,NA,NA
"343","Hindon bog","M6","ON.M6",2015-10-24,"1",NA,NA,"M",6,0,0,"6",0,0,NA,NA,0,NA,NA,NA,NA,NA,NA
"255","Hindon bog","M6","ON.M6",2015-10-24,"1",NA,NA,"M",3,0,0,"3",0,0,NA,NA,0,NA,NA,NA,NA,NA,NA
"5","Hindon bog","M6","ON.M6",2015-10-24,"1",NA,NA,"M",9,0,0,"8",8,0,0,0,0,NA,NA,NA,NA,NA,NA
"552","Hindon bog","M6","ON.M6",2015-10-24,"1",NA,NA,"M",12,0,0,"7",7,0,0,0,0,NA,NA,NA,NA,NA,NA
"100","Hindon bog","M6","ON.M6",2015-10-24,"1",NA,NA,"M",10,0,0,"5",5,0,0,0,0,NA,NA,NA,NA,NA,NA
"404","Hindon bog","M6","ON.M6",2015-10-24,"1",NA,NA,"M",11,0,0,"6",6,0,0,0,0,NA,NA,NA,NA,NA,NA
"90","Hindon bog","M6","ON.M6",2015-10-24,"1",NA,NA,"M",230,20,227,"5",5,227,34.3,5.85662018573853,45.4,NA,NA,NA,NA,NA,NA
"219","Hindon bog","M6","ON.M6",2015-10-24,"1",NA,NA,"M",4,4,0,"4",4,0,0,0,0,NA,NA,NA,NA,NA,NA
"579","Hindon bog","M6","ON.M6",2015-10-24,"1",NA,NA,"M",26,0,0,"7",7,0,0,0,0,NA,NA,NA,NA,NA,NA
"593","Hindon bog","M6","ON.M6",2015-10-24,"1",NA,NA,"M",25,14,34,"8",3,34,385.333333333333,19.6299091524473,4.25,NA,NA,NA,NA,NA,NA
"324","Hindon bog","M6","ON.M6",2015-10-24,"1",NA,NA,"M",13,0,0,"6",6,0,0,0,0,NA,NA,NA,NA,NA,NA
"114","Hindon bog","M6","ON.M6",2015-10-24,"1",NA,NA,"M",2,0,0,"2",2,0,0,0,0,NA,NA,NA,NA,NA,NA
"298","Hindon bog","M6","ON.M6",2015-10-24,"1",NA,NA,"M",13,0,0,"6",6,0,0,0,0,NA,NA,NA,NA,NA,NA
"243","Hindon bog","M6","ON.M6",2015-10-24,"1",NA,NA,"M",19,0,0,"0",1,0,NA,NA,0,NA,NA,NA,NA,NA,NA
"276","Hindon bog","M6","ON.M6",2015-10-24,"1",NA,NA,"M",10,0,0,"4",4,0,0,0,0,NA,NA,NA,NA,NA,NA
"111","Hindon bog","M6","ON.M6",2015-10-24,"1",NA,NA,"M",19,0,0,"6",6,0,0,0,0,NA,NA,NA,NA,NA,NA
"45","Hindon bog","M6","ON.M6",2015-10-24,"1",NA,NA,"M",22,0,0,"6",6,0,0,0,0,NA,NA,NA,NA,NA,NA
"312","Hindon bog","M6","ON.M6",2015-10-24,"1",NA,NA,"M",8,0,0,"4",4,0,0,0,0,NA,NA,NA,NA,NA,NA
"193","Hindon bog","M6","ON.M6",2015-10-24,"1",NA,NA,"M",42,0,0,"7",7,0,0,0,0,NA,NA,NA,NA,NA,NA
"514","Hindon bog","M6","ON.M6",2015-10-24,"1",NA,NA,"M",21,0,0,"1",1,0,NA,NA,0,NA,NA,NA,NA,NA,NA
"530","Hindon bog","M6","ON.M6",2015-10-24,"1",NA,NA,"M",11,0,0,"5",5,0,0,0,0,NA,NA,NA,NA,NA,NA
"414","Hindon bog","M6","ON.M6",2015-10-24,"1",NA,NA,"M",7,2,0,"2",2,0,0,0,0,NA,NA,NA,NA,NA,NA
