"Page","Photo_num","Date","Person_ID","Photo","Envelope_ID","Fruit_ID","Seed_number","NonViable_seeds","Notes","Notes2","Date2"
15,NA,"09-02-2016","Rebecca","N",641,"1","0","Y","NO SEEDS",NA,2016-02-09
15,NA,"09-02-2016","Rebecca","N",641,"2","0","Y","NO SEEDS",NA,2016-02-09
15,NA,"09-02-2016","Rebecca","N",78,"1","5","Y","5 LG SEEDS",NA,2016-02-09
15,NA,"09-02-2016","Rebecca","N",78,"2","1","Y","1 LG SEED",NA,2016-02-09
15,NA,"09-02-2016","Rebecca","N",106,"1-2","11","Y","11 SEEDS",NA,2016-02-09
15,NA,"09-02-2016","Rebecca","N",106,"3","3","Y","3 SEEDS",NA,2016-02-09
15,NA,"09-02-2016","Rebecca","N",106,"4","6","Y","6 SEEDS",NA,2016-02-09
15,NA,"09-02-2016","Rebecca","N",106,"5","6","Y","6 SEEDS",NA,2016-02-09
16,NA,"10-02-2016","Rebecca","N",721,"1","13","Y","13 SEEDS",NA,2016-02-10
16,NA,"10-02-2016","Rebecca","N",721,"2","4","Y","4 SEEDS",NA,2016-02-10
16,NA,"10-02-2016","Rebecca","N",721,"3","18","Y","18 SEEDS",NA,2016-02-10
16,NA,"10-02-2016","Rebecca","N",721,"4","11","Y","11 SEEDS",NA,2016-02-10
16,NA,"10-02-2016","Rebecca","N",721,"5","3","Y","3 SEEDS",NA,2016-02-10
16,NA,"10-02-2016","Rebecca","N",364,"1-5","142","Y","LATE AND MID ABORTED","Photo removed and hand counted June 10 MPB",2016-02-10
16,NA,"10-02-2016","Rebecca","N",568,"1-5","65","Y ","LATE AND MID ABORTED","Photo removed and hand counted June 10 MPB",2016-02-10
16,NA,"10-02-2016","Rebecca","N",538,"1","0","Y","0 SEEDS",NA,2016-02-10
16,NA,"10-02-2016","Rebecca","N",538,"2","0","Y","0 SEEDS",NA,2016-02-10
16,NA,"10-02-2016","Rebecca","N",538,"3","0","Y ",NA,NA,2016-02-10
16,NA,"10-02-2016","Rebecca","N",24,"1-4","33","Y","MID STAGE ABORTED","Photo removed and hand counted June 10 MPB",2016-02-10
16,NA,"10-02-2016","Rebecca","N",239,"1","0","Y","7 VERY SMALL SEEDS-MPB calls these Late aborted","Changed the 7 small seeds to Late Aborted",2016-02-10
16,NA,"10-02-2016","Rebecca","N",239,"2","7","Y","Late aborted or immature seeds","Photo removed and hand counted June 10 MPB",2016-02-10
16,NA,"10-02-2016","Rebecca","N",239,"3","2","Y","2 SEEDS",NA,2016-02-10
16,NA,"10-02-2016","Rebecca","N",239,"4","2","Y","2 SEEDS",NA,2016-02-10
16,NA,"10-02-2016","Rebecca","N",239,"5","1","Y","1 SEED",NA,2016-02-10
16,NA,"11-02-2016","Weihang","N",104,"5","21","Y","21 SEEDS",NA,2016-02-11
17,NA,"16-02-2016","Rebecca","N",304,"1","1","Y","1 SEED",NA,2016-02-16
17,NA,"16-02-2016","Rebecca","N",304,"2","1","Y","1 SEED",NA,2016-02-16
17,NA,"16-02-2016","Rebecca","N",304,"3","2","Y","2 SEEDS",NA,2016-02-16
17,NA,"16-02-2016","Rebecca","N",506,"5","0","Y","NO SEEDS",NA,2016-02-16
17,NA,"16-02-2016","Rebecca","N",249,"1-2","17","Y","17 SEEDS",NA,2016-02-16
17,NA,"16-02-2016","Rebecca","N",716,"6","0","Y","NO SEED",NA,2016-02-16
18,NA,"17-02-2016","Weihang","N",163,"1-2","9","Y","9 SEEDS",NA,2016-02-17
18,NA,"17-02-2016","Weihang","N",163,"3","0","Y","ALL ABORTED",NA,2016-02-17
18,NA,"17-02-2016","Weihang","N",505,"1-2","26","Y","26 SEEDS",NA,2016-02-17
18,NA,"17-02-2016","Weihang","N",505,"3","1","Y","1 SEED",NA,2016-02-17
18,NA,"17-02-2016","Weihang","N",505,"4","2","Y","2 SEEDS",NA,2016-02-17
18,NA,"17-02-2016","Weihang","N",600,"1-2","19","Y","19 SEEDS",NA,2016-02-17
18,NA,"17-02-2016","Weihang","N",600,"3","7","Y","7 SEEDS ",NA,2016-02-17
18,NA,"17-02-2016","Weihang","N",600,"4","2","Y","2 SEEDS",NA,2016-02-17
18,NA,"17-02-2016","Weihang","N",600,"5","2","Y","2 SEEDS",NA,2016-02-17
18,NA,"17-02-2016","Weihang","N",465,"1-4","29","Y","29 SEEDS",NA,2016-02-17
18,NA,"17-02-2016","Weihang","N",465,"5","1","Y","1 SEED",NA,2016-02-17
18,NA,"17-02-2016","Weihang","N",356,"1-5","33","Y","33 SEEDS",NA,2016-02-17
18,NA,"17-02-2016","Weihang","N",448,"1-5","47","Y","47 SEEDS",NA,2016-02-17
18,NA,"17-02-2016","Weihang","N",23,"1-4","16","Y","16 SEEDS",NA,2016-02-17
18,NA,"17-02-2016","Weihang","N",241,"1-6","21","Y","21 SEEDS",NA,2016-02-17
19,NA,"23-02-2016","Rebecca","N",425,"7","1","Y","1 SEED",NA,2016-02-23
19,NA,"23-02-2016","Rebecca","N",374,"1","6","Y","6 SEEDS",NA,2016-02-23
19,NA,"23-02-2016","Rebecca","N",374,"2","0","Y","NO SEEDS",NA,2016-02-23
19,NA,"23-02-2016","Rebecca","N",374,"3","0","Y","NO SEEDS",NA,2016-02-23
19,NA,"24-02-2016","Rebecca","N",40,"1","0","Y","0 SEEDS",NA,2016-02-24
19,NA,"24-02-2016","Rebecca","N",40,"2","6","Y","6 SEEDS, VERY SMALL SEEDS",NA,2016-02-24
20,NA,"01-03-2016","Rebecca","N",192,"1","10","Y","10 SEEDS",NA,2016-03-01
20,NA,"01-03-2016","Rebecca","N",192,"2","6","Y","6 SEEDS",NA,2016-03-01
20,NA,"01-03-2016","Rebecca","N",192,"3","3","Y","3 SEEDS",NA,2016-03-01
