"Envelope_ID","PopName","Pop_ID","PopCode","PopCode2","Date_collected","stems","Clump_size","Flower_number","Fruit_number","Secondary_branches","Notes","Seed.number","Type","Flower_number2","Fruit2"
"252","Pumphouse Marsh","D9","ON.D9","ON.D9","25-10-15","1","",134,134,2,"","","P",134,134
"515","Pumphouse Marsh","D9","ON.D9","ON.D9","25-10-15","1","",70,70,0,"","","P",70,70
"605","Pumphouse Marsh","D9","ON.D9","ON.D9","25-10-15","1","",50,50,0,"","","P",50,50
"66","Pumphouse Marsh","D9","ON.D9","ON.D9","25-10-15","1","",88,88,4,"","","P",88,88
"8","Pumphouse Marsh","D9","ON.D9","ON.D9","25-10-15","1","",280,280,14,"","","P",280,280
"14","Pumphouse Marsh","D9","ON.D9","ON.D9","25-10-15","1","",345,345,14,"","","P",345,345
"452","Pumphouse Marsh","D9","ON.D9","ON.D9","25-10-15","1","",360,360,16,"","","P",360,360
"488","Pumphouse Marsh","D9","ON.D9","ON.D9","25-10-15","1","",490,490,17,"","","P",490,490
"539","Pumphouse Marsh","D9","ON.D9","ON.D9","25-10-15","1","",460,460,14,"","","P",460,460
"521","Pumphouse Marsh","D9","ON.D9","ON.D9","25-10-15","1","",215,215,12,"","","P",215,215
"401","Pumphouse Marsh","D9","ON.D9","ON.D9","25-10-15","1","",20,20,0,"","","P",20,20
"305","Pumphouse Marsh","D9","ON.D9","ON.D9","25-10-15","1","",210,210,16,"","","P",210,210
"321","Pumphouse Marsh","D9","ON.D9","ON.D9","25-10-15","1","",40,40,4,"","","P",40,40
"123","Pumphouse Marsh","D9","ON.D9","ON.D9","25-10-15","1","",180,180,10,"","","P",180,180
"306","Pumphouse Marsh","D9","ON.D9","ON.D9","25-10-15","1","",295,295,10,"","","P",295,295
"96","Pumphouse Marsh","D9","ON.D9","ON.D9","25-10-15","1","",65,65,6,"","","P",65,65
"346","Bewdley A","D5","ON.D5","ON.D5","30-10-15","stema","",300,280,10,"2 stems this is first","parasites in population. Cuscuta americana","P",330,310
"313","Bewdley A","D5","ON.D5","ON.D5","30-10-15","1","",80,80,10,"parasite on plant","","P",80,80
"392","Bewdley A","D5","ON.D5","ON.D5","30-10-15","1","",140,135,12,"","","P",140,135
"120","Bewdley A","D5","ON.D5","ON.D5","30-10-15","1","5",87,85,0,"","","P",87,85
"524","Bewdley A","D5","ON.D5","ON.D5","30-10-15","stema","",115,115,5,"2 stems this is first","","P",215,215
"614","Bewdley A","D5","ON.D5","ON.D5","30-10-15","1","",187,187,6,"","","P",187,187
"9","Bewdley A","D5","ON.D5","ON.D5","30-10-15","1","",265,265,14,"","","P",265,265
"225","Bewdley A","D5","ON.D5","ON.D5","30-10-15","1","",425,425,17,"","","P",425,425
"159","Bewdley A","D5","ON.D5","ON.D5","30-10-15","1","",85,85,5,"","","P",85,85
"39","Bewdley A","D5","ON.D5","ON.D5","30-10-15","1","15",95,90,7,"small fruit","","P",95,90
"307","Bewdley A","D5","ON.D5","ON.D5","30-10-15","stema","",165,165,8,"","","P",210,210
"519","Bewdley A","D5","ON.D5","ON.D5","30-10-15","1","15",155,155,4,"","","P",155,155
"464","Bewdley A","D5","ON.D5","ON.D5","30-10-15","1","8",215,215,21,"","","P",215,215
"635","Bewdley A","D5","ON.D5","ON.D5","30-10-15","1","6",285,285,10,"","","P",285,285
"545","Bewdley A","D5","ON.D5","ON.D5","30-10-15","1","3",25,25,6,"Only 2 of the secondary branches have flowers","","P",25,25
"578","Bewdley A","D5","ON.D5","ON.D5","30-10-15","1","20",5,5,14,"parasite on plant","","P",5,5
"611","Bewdley A","D5","ON.D5","ON.D5","30-10-15","1","",110,110,14,"6 secondary branches with flowers","","P",110,110
"72","Bewdley A","D5","ON.D5","ON.D5","30-10-15","1","20",20,20,9,"Only 2 secondary branches with flowers","","P",20,20
"189","Bewdley A","D5","ON.D5","ON.D5","30-10-15","1","",100,100,10,"","","P",100,100
"97","Bewdley A","D5","ON.D5","ON.D5","30-10-15","1","",30,30,7,"parasite on plant","","P",30,30
"127","Bewdley A","D5","ON.D5","ON.D5","30-10-15","1","",125,125,6,"","","P",125,125
"70","Bewdley A","D5","ON.D5","ON.D5","30-10-15","1","12",55,55,0,"parasite on plant","","P",55,55
"40","Bewdley A","D5","ON.D5","ON.D5","30-10-15","1","4",5,5,12,"this is the sole stem with flowers. Parasite on plants","","P",5,5
"192","Bewdley A","D5","ON.D5","ON.D5","30-10-15","1","6",35,35,0,"this is the only flowering stem in the clump and only one not smothered by parasite","","P",35,35
"168","Bewdley A","D5","ON.D5","ON.D5","30-10-15","1","12",38,38,9,"","","P",38,38
"217","Bewdley A","D5","ON.D5","ON.D5","30-10-15","1","12",165,165,10,"","","P",165,165
"250","Bewdley A","D5","ON.D5","ON.D5","30-10-15","1","",155,150,8,"parasite on plant","","P",155,150
"554","Bewdley A","D5","ON.D5","ON.D5","30-10-15","1","6",20,18,3,"","","P",20,18
"665","Bewdley A","D5","ON.D5","ON.D5","30-10-15","stema","5",420,420,19,"","","P",440,440
"422","Caledon","M4","ON.M4","ON.M4","25-10-15","1","",5,0,0,"","","M",5,0
"374","Caledon","M4","ON.M4","ON.M4","25-10-15","1","",3,1,0,"","","M",3,1
"345","Caledon","M4","ON.M4","ON.M4","25-10-15","1","",4,0,0,"","","M",4,0
"234","Caledon","M4","ON.M4","ON.M4","25-10-15","1","",5,0,0,"","","M",5,0
"177","Caledon","M4","ON.M4","ON.M4","25-10-15","1","",4,4,0,"","","M",4,4
"198","Caledon","M4","ON.M4","ON.M4","25-10-15","1","",22,7,0,"check seeds in fruit","","M",22,7
"87","Caledon","M4","ON.M4","ON.M4","25-10-15","1","",5,0,0,"","","M",5,0
"674","Caledon","M4","ON.M4","ON.M4","25-10-15","1","",15,4,0,"","","M",15,4
"641","Caledon","M4","ON.M4","ON.M4","25-10-15","1","",6,0,0,"","","M",6,0
"54","Caledon","M4","ON.M4","ON.M4","25-10-15","1","",55,25,6,"","","M",55,25
"18","Rideau Bird Sanctuary","T17","ON.T16","ON.T16","26-10-15","1","",55,0,0,"although I have an envelope it is empty. I don't know where those fruits disappeared","","P",55,0
"581","Rideau Bird Sanctuary","T17","ON.T16","ON.T16","26-10-15","1","20",20,20,0,"","","P",20,20
"130","Rideau Bird Sanctuary","T17","ON.T16","ON.T16","26-10-15","1","",50,50,6,"","","P",50,50
"174","Rideau Bird Sanctuary","T17","ON.T16","ON.T16","26-10-15","1","",36,36,0,"","","P",36,36
"195","Rideau Bird Sanctuary","T17","ON.T16","ON.T16","26-10-15","1","",55,55,0,"","","P",55,55
"180","Rideau Bird Sanctuary","T17","ON.T16","ON.T16","26-10-15","1","",110,110,8,"","","P",110,110
"78","Rideau Bird Sanctuary","T17","ON.T16","ON.T16","26-10-15","1","6",2,1,0,"this is the only flowering stem in the clump","","P",2,1
