"Envelope_ID","Type","PopName","Pop_ID","PopCode2","Date_collected","Clump_size","Secondary_branches","Flower_num","Fruit_num","Fruit_num_counted","Total_seeds_counted","Seeds_per_fruit","Seed_var","Seed_stdev"
412,"M","Horseshoe Lake","M1","ON.M1","18-10-15","",0,5,5,4,55,13.75,2.91666666666667,1.70782512765993
52,"M","Horseshoe Lake","M1","ON.M1","18-10-15","",0,95,95,6,71,11.8333333333333,12.9666666666667,3.60092580688171
576,"M","Horseshoe Lake","M1","ON.M1","18-10-15","",0,25,15,5,57,11.4,2.3,1.51657508881031
531,"M","Horseshoe Lake","M1","ON.M1","18-10-15","",0,15,13,5,32,6.4,9.3,3.04959013639538
184,"M","Horseshoe Lake","M1","ON.M1","18-10-15","",0,30,30,7,67,9.57142857142857,4.95238095238095,2.22539456105675
406,"M","Horseshoe Lake","M1","ON.M1","18-10-15","",4,9,0,0,0,0,NA,NA
594,"M","Horseshoe Lake","M1","ON.M1","18-10-15","",0,45,45,6,74,12.3333333333333,13.8666666666667,3.72379734500505
725,"M","Horseshoe Lake","M1","ON.M1","18-10-15","",0,13,10,5,48,9.6,19.8,4.4497190922574
409,"M","Horseshoe Lake","M1","ON.M1","18-10-15","",0,80,80,5,64,12.8,12.7,3.56370593624109
504,"M","Horseshoe Lake","M1","ON.M1","18-10-15","",0,75,75,6,145,24.1666666666667,12.5,3.53553390593274
61,"M","Horseshoe Lake","M1","ON.M1","18-10-15","",0,60,60,8,129,16.125,NA,NA
705,"M","Horseshoe Lake","M1","ON.M1","18-10-15","",0,70,70,7,74,10.5714285714286,15.6190476190476,3.95209408023742
424,"M","Horseshoe Lake","M1","ON.M1","18-10-15","",0,14,14,6,72,12,8,2.82842712474619
403,"M","Horseshoe Lake","M1","ON.M1","18-10-15","",0,60,60,5,84,16.8,22.2,4.7116875957559
46,"M","Horseshoe Lake","M1","ON.M1","18-10-15","",0,55,55,5,84,16.8,29.7,5.44977063737548
701,"M","Horseshoe Lake","M1","ON.M1","18-10-15","",0,70,68,8,144,18,31.7142857142857,5.63154381269344
443,"M","Horseshoe Lake","M1","ON.M1","18-10-15","",0,60,48,6,171,28.5,37,6.08276253029822
728,"M","Horseshoe Lake","M1","ON.M1","18-10-15","",0,45,45,5,93,18.6,4.3,2.07364413533277
245,"M","Horseshoe Lake","M1","ON.M1","18-10-15","",0,25,25,6,114,19,204.8,14.3108350559987
363,"M","Horseshoe Lake","M1","ON.M1","18-10-15","",5,95,90,5,77,15.4,2.8,1.67332005306815
335,"M","Horseshoe Lake","M1","ON.M1","18-10-15","",0,12,12,5,64,12.8,33.7,5.80517010948
712,"M","Horseshoe Lake","M1","ON.M1","18-10-15","",3,28,28,5,94,18.8,NA,NA
591,"M","Horseshoe Lake","M1","ON.M1","18-10-15","",0,14,14,5,80,16,16.5,4.06201920231798
400,"M","Horseshoe Lake","M1","ON.M1","18-10-15","",0,30,30,5,83,16.6,6.33333333333333,2.51661147842358
190,"M","Horseshoe Lake","M1","ON.M1","18-10-15","",0,68,68,5,149,29.8,51.7,7.19027120489902
574,"M","Horseshoe Lake","M1","ON.M1","18-10-15","",0,25,25,5,100,20,60.5,7.77817459305202
694,"M","Horseshoe Lake","M1","ON.M1","18-10-15","",0,50,45,5,57,11.4,10.3,3.20936130717624
501,"M","Horseshoe Lake","M1","ON.M1","18-10-15","",0,85,85,5,85,17,40.5,6.36396103067893
582,"M","Lac LaPeche","M10","ON.M10","12-10-15","",3,80,80,5,32,6.4,1.3,1.14017542509914
597,"M","Lac LaPeche","M10","ON.M10","12-10-15","",14,80,80,5,42,8.4,8.3,2.88097205817759
698,"M","Lac LaPeche","M10","ON.M10","12-10-15","",15,20,20,5,39,7.8,5.2,2.28035085019828
708,"M","Lac LaPeche","M10","ON.M10","12-10-15","",10,130,130,6,44,7.33333333333333,10.2666666666667,3.20416395751944
394,"M","Lac LaPeche","M10","ON.M10","12-10-15","",3,20,20,6,40,6.66666666666667,4.66666666666667,2.16024689946929
537,"M","Lac LaPeche","M10","ON.M10","12-10-15","",10,57,57,5,36,7.2,7.2,2.68328157299975
43,"M","Lac LaPeche","M10","ON.M10","12-10-15","",0,25,25,7,41,5.85714285714286,12.4761904761905,3.53216512583861
382,"M","Lac LaPeche","M10","ON.M10","12-10-15","",22,215,215,5,39,7.8,7.2,2.68328157299975
172,"M","Lac LaPeche","M10","ON.M10","12-10-15","",0,26,25,5,24,4.8,0.2,0.447213595499958
235,"M","Lac LaPeche","M10","ON.M10","12-10-15","",6,5,5,4,26,6.5,6.33333333333333,2.51661147842358
677,"M","Lac LaPeche","M10","ON.M10","12-10-15","",12,20,20,5,42,8.4,5.3,2.30217288664427
325,"M","Lac LaPeche","M10","ON.M10","12-10-15","",35,540,540,25,237,9.48,NA,NA
472,"M","Lac LaPeche","M10","ON.M10","12-10-15","",15,150,150,5,39,7.8,5.2,2.28035085019828
499,"M","Lac LaPeche","M10","ON.M10","12-10-15","",20,110,109,6,52,8.66666666666667,3.86666666666667,1.96638416050035
263,"M","Lac LaPeche","M10","ON.M10","12-10-15","",0,65,65,7,43,6.14285714285714,6.80952380952381,2.60950643025148
439,"M","Lac LaPeche","M10","ON.M10","12-10-15","",0,6,5,6,24,4,1,1
86,"M","Lac LaPeche","M10","ON.M10","12-10-15","",7,65,65,7,65,9.28571428571429,4.5,2.12132034355964
583,"M","Lac LaPeche","M10","ON.M10","12-10-15","",10,25,24,12,83,6.91666666666667,1.33333333333333,1.15470053837925
136,"M","Lac LaPeche","M10","ON.M10","12-10-15","",13,175,175,5,45,9,2.5,1.58113883008419
296,"M","Lac LaPeche","M10","ON.M10","12-10-15","",15,46,46,5,58,11.6,11.3,3.36154726279432
379,"M","Lac LaPeche","M10","ON.M10","12-10-15","",0,55,50,5,28,5.6,9.3,3.04959013639538
666,"M","Lac LaPeche","M10","ON.M10","12-10-15","",17,180,180,5,56,11.2,9.7,3.11448230047949
175,"M","Lac LaPeche","M10","ON.M10","12-10-15","",16,145,145,6,534,89,41336.4,203.31355095025
47,"M","Kagawong","M15","ON.M15","10-10-15","",0,25,25,5,20,4,39.5,6.28490254498827
300,"M","Kagawong","M15","ON.M15","10-10-15","",2,150,150,5,44,8.8,27.7,5.26307894677631
157,"M","Kagawong","M15","ON.M15","10-10-15","",0,35,35,5,82,16.4,8.3,2.88097205817759
145,"M","Kagawong","M15","ON.M15","10-10-15","",4,14,14,5,24,4.8,11.7,3.42052627529741
311,"M","Kagawong","M15","ON.M15","10-10-15","",3,40,40,5,59,11.8,21.7,4.65832587954085
687,"M","Kagawong","M15","ON.M15","10-10-15","",2,110,110,5,62,12.4,20.8,4.56070170039655
749,"M","Kagawong","M15","ON.M15","10-10-15","",2,45,45,5,76,15.2,15.2,3.89871773792359
741,"M","Kagawong","M15","ON.M15","10-10-15","",2,14,10,5,22,4.4,8.8,2.96647939483827
139,"M","Kagawong","M15","ON.M15","10-10-15","",6,12,8,5,48,9.6,22.3,4.72228758124704
224,"M","Kagawong","M15","ON.M15","10-10-15","",2,25,25,5,40,8,15.5,3.93700393700591
74,"M","Kagawong","M15","ON.M15","10-10-15","",2,100,100,5,45,9,36,6
44,"M","Kagawong","M15","ON.M15","10-10-15","",2,55,55,5,73,14.6,53.3,7.30068489937759
170,"M","Kagawong","M15","ON.M15","10-10-15","",2,115,115,5,63,12.6,2.3,1.51657508881031
142,"M","Kagawong","M15","ON.M15","10-10-15","",2,100,100,5,78,15.6,21.3,4.61519230368573
659,"M","Kagawong","M15","ON.M15","10-10-15","",0,100,100,5,54,10.8,13.7,3.70135110466435
649,"M","Kagawong","M15","ON.M15","10-10-15","",2,9,9,5,28,5.6,1.3,1.14017542509914
477,"M","Kagawong","M15","ON.M15","10-10-15","",0,30,29,5,29,5.8,11.7,3.42052627529741
556,"M","Kagawong","M15","ON.M15","10-10-15","",10,120,100,5,28,5.6,12.8,3.57770876399966
738,"M","Kagawong","M15","ON.M15","10-10-15","",0,23,19,5,47,9.4,17.3,4.15932686861708
445,"M","Kagawong","M15","ON.M15","10-10-15","",0,55,20,5,15,3,4.5,2.12132034355964
529,"M","Kagawong","M15","ON.M15","10-10-15","",2,25,25,5,35,7,9.5,3.08220700148449
656,"M","Kagawong","M15","ON.M15","10-10-15","",0,70,70,5,21,4.2,12.7,3.56370593624109
662,"M","Kagawong","M15","ON.M15","10-10-15","",3,30,30,5,30,6,11,3.3166247903554
161,"M","Kagawong","M15","ON.M15","10-10-15","",0,200,200,5,20,4,7,2.64575131106459
502,"M","Kagawong","M15","ON.M15","10-10-15","",6,80,60,6,57,9.5,NA,NA
475,"M","Kagawong","M15","ON.M15","10-10-15","",2,50,50,5,43,8.6,9.3,3.04959013639538
301,"M","Kagawong","M15","ON.M15","10-10-15","",0,100,100,5,14,2.8,4.7,2.16794833886788
743,"M","Kagawong","M15","ON.M15","10-10-15","",0,30,24,5,34,6.8,3.2,1.78885438199983
164,"M","Kagawong","M15","ON.M15","10-10-15","",2,80,80,5,67,13.4,41.3,6.42650760522385
2,"M","Corry Lake","M16","ON.M16","11-10-15","",0,50,50,5,52,10.4,NA,NA
128,"M","Corry Lake","M16","ON.M16","11-10-15","",3,30,30,8,69,8.625,NA,NA
158,"M","Corry Lake","M16","ON.M16","11-10-15","",2,20,20,5,28,5.6,3.3,1.81659021245849
473,"M","Corry Lake","M16","ON.M16","11-10-15","20",2,500,500,14,50,3.57142857142857,NA,NA
588,"M","Corry Lake","M16","ON.M16","11-10-15","",3,15,15,5,21,4.2,3.2,1.78885438199983
37,"M","Corry Lake","M16","ON.M16","11-10-15","",2,20,20,5,51,10.2,NA,NA
94,"M","Corry Lake","M16","ON.M16","11-10-15","",8,70,70,10,108,10.8,NA,NA
75,"M","Corry Lake","M16","ON.M16","11-10-15","",3,13,12,7,42,6,NA,NA
664,"M","Corry Lake","M16","ON.M16","11-10-15","",5,100,95,5,41,8.2,3.7,1.92353840616713
105,"M","Corry Lake","M16","ON.M16","11-10-15","",5,30,30,8,62,7.75,NA,NA
541,"M","Corry Lake","M16","ON.M16","11-10-15","",2,8,8,5,21,4.2,12.7,3.56370593624109
328,"M","Corry Lake","M16","ON.M16","11-10-15","",5,30,30,9,98,10.8888888888889,NA,NA
