Envelope_ID,Type,PopName,Pop_ID,PopCode2,Date_collected,Clump_size,Secondary_branches,Flower_num,Fruit_num
514,M,Hindon bog,M6,ON.M6,2024-10-15,,0,21,0
530,M,Hindon bog,M6,ON.M6,2024-10-15,,0,11,0
414,M,Hindon bog,M6,ON.M6,2024-10-15,,0,7,2
246,M,Hindon bog,M6,ON.M6,2024-10-15,,6,50,45
542,M,Round Lake,M5,ON.M5,2024-10-15,,0,9,4
358,M,Round Lake,M5,ON.M5,2024-10-15,,0,33,14
138,M,Round Lake,M5,ON.M5,2024-10-15,,0,22,13
117,M,Round Lake,M5,ON.M5,2024-10-15,,0,20,15
12,M,Round Lake,M5,ON.M5,2024-10-15,15,18,50,50
141,M,Round Lake,M5,ON.M5,2024-10-15,,0,2,2
42,M,Round Lake,M5,ON.M5,2024-10-15,,0,11,4
657,M,Round Lake,M5,ON.M5,2024-10-15,,0,12,3
683,M,Round Lake,M5,ON.M5,2024-10-15,,12,120,110
623,M,Round Lake,M5,ON.M5,2024-10-15,,0,4,3
555,M,Round Lake,M5,ON.M5,2024-10-15,,0,15,6
517,M,Round Lake,M5,ON.M5,2024-10-15,,0,10,8
153,M,Round Lake,M5,ON.M5,2024-10-15,,5,105,105
540,M,Round Lake,M5,ON.M5,2024-10-15,,0,12,3
183,M,Round Lake,M5,ON.M5,2024-10-15,,0,23,15
213,M,Round Lake,M5,ON.M5,2024-10-15,,0,3,3
310,M,Round Lake,M5,ON.M5,2024-10-15,,3,90,85
223,M,Round Lake,M5,ON.M5,2024-10-15,,0,20,15
144,M,Round Lake,M5,ON.M5,2024-10-15,,0,11,9
365,M,Round Lake,M5,ON.M5,2024-10-15,,0,15,7
244,M,Round Lake,M5,ON.M5,2024-10-15,,0,60,50
129,M,Round Lake,M5,ON.M5,2024-10-15,,6,65,50
84,M,Round Lake,M5,ON.M5,2024-10-15,,0,11,7
273,M,Round Lake,M5,ON.M5,2024-10-15,,6,8,0
95,M,Round Lake,M5,ON.M5,2024-10-15,,0,10,6
303,M,Round Lake,M5,ON.M5,2024-10-15,3,0,6,0
333,M,Round Lake,M5,ON.M5,2024-10-15,,0,21,15
512,M,Round Lake,M5,ON.M5,2024-10-15,,0,20,19
482,M,Round Lake,M5,ON.M5,2024-10-15,,8,15,11
33,P,Loch Garry,T12,ON.T12,2023-10-15,,0,85,80
334,P,Loch Garry,T12,ON.T12,2023-10-15,,6,190,180
510,P,Loch Garry,T12,ON.T12,2023-10-15,6 to 8,0,12,12
29,P,Loch Garry,T12,ON.T12,2023-10-15,,5,80,80
77,P,Loch Garry,T12,ON.T12,2023-10-15,,9,230,225
104,P,Loch Garry,T12,ON.T12,2023-10-15,,0,85,85
132,P,Loch Garry,T12,ON.T12,2023-10-15,,0,95,95
20,P,Loch Garry,T12,ON.T12,2023-10-15,8,0,28,28
102,P,Loch Garry,T12,ON.T12,2023-10-15,,0,75,75
81,P,Loch Garry,T12,ON.T12,2023-10-15,,5,30,30
209,P,Loch Garry,T12,ON.T12,2023-10-15,7,0,12,11
106,P,Loch Garry,T12,ON.T12,2023-10-15,20,8,110,105
126,P,Loch Garry,T12,ON.T12,2023-10-15,,7,50,50
133,P,Loch Garry,T12,ON.T12,2023-10-15,4,3,45,45
17,P,Loch Garry,T12,ON.T12,2023-10-15,20,0,30,30
65,P,Loch Garry,T12,ON.T12,2023-10-15,4,0,65,55
69,P,Loch Garry,T12,ON.T12,2023-10-15,20,0,9,9
49,P,Loch Garry,T12,ON.T12,2023-10-15,10,0,12,12
315,P,Loch Garry,T12,ON.T12,2023-10-15,10,0,40,38
124,P,Loch Garry,T12,ON.T12,2023-10-15,10,4,60,60
26,P,Loch Garry,T12,ON.T12,2023-10-15,4,18,50,50
513,P,Loch Garry,T12,ON.T12,2023-10-15,5,11,205,205
543,P,Loch Garry,T12,ON.T12,2023-10-15,4,0,55,55
572,P,Loch Garry,T12,ON.T12,2023-10-15,,6,10,10
632,P,Loch Garry,T12,ON.T12,2023-10-15,15,0,55,45
368,P,Loch Garry,T12,ON.T12,2023-10-15,6,0,25,20
3,P,Loch Garry,T12,ON.T12,2023-10-15,,8,200,190
34,P,Loch Garry,T12,ON.T12,2023-10-15,,5,60,60
186,P,Loch Garry,T12,ON.T12,2023-10-15,,0,45,40
156,P,Loch Garry,T12,ON.T12,2023-10-15,10,8,45,43
220,P,Loch Garry,T12,ON.T12,2023-10-15,,11,125,125
410,P,Pumphouse Marsh,D9,ON.D9,2025-10-15,,6,215,215
