"Envelope_ID","Fruit_num_counted","Total_seeds_counted","Seeds_per_fruit","Seed_var","Seed_stdev"
501,NA,85,NA,40.5,6.36396103067893
502,NA,57,NA,NA,NA
503,5,30,6,24.5,4.94974746830583
504,NA,145,NA,12.5,3.53553390593274
505,NA,29,NA,0.5,0.707106781186548
506,NA,20,NA,NA,NA
507,5,0,0,0,0
508,NA,88,NA,NA,NA
509,4,21,5.25,6.91666666666667,2.62995563967658
510,NA,0,NA,0,0
511,NA,177,NA,NA,NA
512,NA,24,NA,2,1.4142135623731
513,5,16,3.2,51.2,7.15541752799933
514,1,0,0,NA,NA
515,5,79,15.8,127.7,11.3004424692133
516,NA,208,NA,NA,NA
517,5,39,7.8,27.2,5.21536192416212
518,NA,153,NA,NA,NA
519,NA,122,NA,NA,NA
520,NA,0,NA,NA,NA
521,NA,132,NA,NA,NA
522,NA,7,NA,NA,NA
523,NA,33,NA,NA,NA
524,NA,152,NA,176.333333333333,13.2790561913614
525,4,31,7.75,18.9166666666667,4.3493294502333
526,0,0,0,NA,NA
527,NA,32,NA,2.33333333333333,1.52752523165195
528,2,19,9.5,24.5,4.94974746830583
529,5,35,7,9.5,3.08220700148449
530,5,0,0,0,0
531,5,32,6.4,9.3,3.04959013639538
532,5,47,9.4,26.8,5.17687164221791
533,NA,12,NA,NA,NA
534,6,86,14.3333333333333,0.666666666666667,0.816496580927726
535,6,27,4.5,12.3,3.50713558335004
536,NA,42,NA,NA,NA
537,5,36,7.2,7.2,2.68328157299975
538,3,0,0,0,0
539,NA,154,NA,NA,NA
540,5,3,0.6,1.8,1.34164078649987
541,5,21,4.2,12.7,3.56370593624109
542,NA,16,NA,NA,NA
543,6,0,0,0,0
544,5,4,0.8,1.2,1.09544511501033
545,4,152,38,70.6666666666667,8.40634680861233
546,5,11,2.2,24.2,4.91934955049954
547,5,152,30.4,100.3,10.0149887668434
548,NA,62,NA,NA,NA
549,NA,30,NA,NA,NA
550,NA,115,NA,NA,NA
551,NA,71,NA,NA,NA
552,7,0,0,0,0
553,NA,0,NA,NA,NA
554,5,34,6.8,6.7,2.58843582110896
555,10,30,3,14,3.74165738677394
556,5,28,5.6,12.8,3.57770876399966
557,5,13,2.6,1.8,1.34164078649987
558,5,0,0,0,0
559,5,0,0,0,0
560,5,27,5.4,4.3,2.07364413533277
561,4,70,17.5,11,3.3166247903554
562,NA,59,NA,NA,NA
563,3,3,1,1,1
564,2,29,14.5,60.5,7.77817459305202
565,0,0,0,NA,NA
566,5,5,1,0.5,0.707106781186548
567,4,25,6.25,10.9166666666667,3.30403793359983
568,NA,65,NA,NA,NA
569,NA,97,NA,NA,NA
570,NA,48,NA,NA,NA
571,NA,411,NA,NA,NA
572,5,159,31.8,475.2,21.7990825495019
573,4,32,8,22,4.69041575982343
574,NA,100,NA,60.5,7.77817459305202
575,6,22,3.66666666666667,22.6666666666667,4.76095228569523
576,5,57,11.4,2.3,1.51657508881031
577,5,109,21.8,41.7,6.45755371638518
578,5,78,15.6,83.8,9.15423399307665
579,7,0,0,0,0
580,NA,7,NA,1.8,1.34164078649987
581,NA,24,NA,NA,NA
582,5,32,6.4,1.3,1.14017542509914
583,NA,83,NA,1.33333333333333,1.15470053837925
584,6,25,4.16666666666667,53.7666666666667,7.33257571844074
585,4,29,7.25,3.58333333333333,1.89296944860009
586,NA,95,NA,NA,NA
587,5,0,0,0,0
588,5,21,4.2,3.2,1.78885438199983
589,5,186,37.2,64.7,8.04363102087608
590,5,18,3.6,64.8,8.04984471899924
591,5,80,16,16.5,4.06201920231798
592,5,34,6.8,39.2,6.26099033699941
593,NA,0,NA,0,0
594,6,74,12.3333333333333,13.8666666666667,3.72379734500505
595,5,17,3.4,3.3,1.81659021245849
596,5,0,0,0,0
597,5,42,8.4,8.3,2.88097205817759
598,NA,0,NA,NA,NA
599,1,11,11,NA,NA
600,NA,30,NA,8.33333333333333,2.88675134594813
601,NA,123,NA,NA,NA
602,NA,106,NA,0.5,0.707106781186548
603,NA,63,NA,NA,NA
605,NA,102,NA,NA,NA
606,5,54,10.8,9.2,3.03315017762062
608,5,136,27.2,719.7,26.827224977623
609,NA,173,NA,NA,NA
610,NA,70,NA,NA,NA
611,5,133,26.6,15.8,3.97492138287036
613,NA,15,NA,NA,NA
614,NA,72,NA,NA,NA
616,NA,59,NA,NA,NA
617,NA,281,NA,NA,NA
619,5,0,0,0,0
620,NA,110,NA,NA,NA
622,6,158,26.3333333333333,54.6666666666667,7.39369100427294
623,4,16,4,32,5.65685424949238
624,NA,61,NA,NA,NA
625,0,0,0,NA,NA
626,5,52,10.4,6.3,2.50998007960223
627,5,45,9,2,1.4142135623731
628,5,0,0,0,0
629,NA,78,NA,0.5,0.707106781186548
630,5,33,6.6,3.8,1.94935886896179
631,NA,80,NA,NA,NA
632,5,45,9,83.5,9.13783344124853
634,5,51,10.2,15.2,3.89871773792359
635,NA,38,NA,NA,NA
637,5,8,1.6,6.8,2.60768096208106
638,2,0,0,0,0
640,NA,57,NA,50,7.07106781186548
641,2,0,0,0,0
642,NA,117,NA,24.5,4.94974746830583
643,5,59,11.8,13.2,3.63318042491699
644,NA,0,NA,NA,NA
645,NA,21,NA,0.5,0.707106781186548
646,0,0,0,NA,NA
647,3,19,6.33333333333333,17.3333333333333,4.16333199893227
648,5,63,12.6,10.3,3.20936130717624
649,5,28,5.6,1.3,1.14017542509914
650,0,0,0,NA,NA
651,6,27,4.5,121.5,11.0227038425243
652,NA,62,NA,330.333333333333,18.1750745069541
653,NA,0,NA,NA,NA
654,NA,94,NA,NA,NA
655,6,60,10,22,4.69041575982343
656,5,21,4.2,12.7,3.56370593624109
657,5,5,1,1.5,1.22474487139159
658,7,72,10.2857142857143,138.238095238095,11.7574697634353
659,5,54,10.8,13.7,3.70135110466435
660,5,39,7.8,7.2,2.68328157299975
661,NA,84,NA,NA,NA
662,5,30,6,11,3.3166247903554
663,7,20,2.85714285714286,1.14285714285714,1.0690449676497
664,5,41,8.2,3.7,1.92353840616713
665,NA,261,NA,NA,NA
666,5,56,11.2,9.7,3.11448230047949
667,5,55,11,21.5,4.63680924774785
668,NA,88,NA,NA,NA
671,5,264,52.8,1065.7,32.645060882161
673,5,27,5.4,2.3,1.51657508881031
674,5,3,0.6,1.8,1.34164078649987
675,NA,82,NA,NA,NA
676,NA,49,NA,NA,NA
677,5,42,8.4,5.3,2.30217288664427
678,NA,67,NA,NA,NA
679,NA,110,NA,NA,NA
680,5,0,0,0,0
681,NA,121,NA,NA,NA
682,NA,46,NA,4.5,2.12132034355964
683,NA,9,NA,24.5,4.94974746830583
684,5,20,4,18,4.24264068711928
685,5,54,10.8,64.7,8.04363102087608
686,NA,8,NA,21.3333333333333,4.61880215351701
687,5,62,12.4,20.8,4.56070170039655
688,5,44,8.8,64.2,8.01249024960405
689,5,14,2.8,10.7,3.27108544675922
690,5,46,9.2,34.7,5.89067059000926
691,NA,64,NA,NA,NA
693,6,30,5,2.4,1.54919333848297
694,5,57,11.4,10.3,3.20936130717624
695,5,62,12.4,64.3,8.01872807869178
696,5,4,0.8,3.2,1.78885438199983
697,5,16,3.2,7.2,2.68328157299975
698,5,39,7.8,5.2,2.28035085019828
699,4,51,12.75,32.25,5.67890834580027
700,NA,153,NA,180.5,13.4350288425444
701,8,144,18,31.7142857142857,5.63154381269344
702,NA,131,NA,142.25,11.9268604418766
704,5,0,0,0,0
705,7,74,10.5714285714286,15.6190476190476,3.95209408023742
706,NA,135,NA,NA,NA
707,NA,90,NA,144.75,12.031209415516
708,6,44,7.33333333333333,10.2666666666667,3.20416395751944
709,4,46,11.5,5.66666666666667,2.38047614284762
710,NA,0,NA,0,0
711,5,0,0,0,0
712,NA,94,NA,NA,NA
713,5,1,0.2,0.2,0.447213595499958
714,5,28,5.6,17.3,4.15932686861708
715,NA,0,NA,NA,NA
716,NA,34,NA,NA,NA
717,NA,27,NA,2.33333333333333,1.52752523165195
718,NA,60,NA,8,2.82842712474619
719,NA,38,NA,NA,NA
720,NA,100,NA,NA,NA
721,5,49,9.8,39.7,6.30079360080935
722,NA,42,NA,NA,NA
725,5,48,9.6,19.8,4.4497190922574
728,5,93,18.6,4.3,2.07364413533277
731,4,28,7,24.6666666666667,4.96655480858378
732,3,43,14.3333333333333,174.333333333333,13.2035348802256
733,NA,58,NA,2,1.4142135623731
734,5,20,4,22.5,4.74341649025257
735,5,0,0,0,0
736,NA,57,NA,32,5.65685424949238
737,NA,122,NA,NA,NA
738,5,47,9.4,17.3,4.15932686861708
739,NA,86,NA,60.5,7.77817459305202
740,5,84,16.8,34.7,5.89067059000926
741,5,22,4.4,8.8,2.96647939483827
742,NA,85,NA,NA,NA
743,5,34,6.8,3.2,1.78885438199983
744,5,12,2.4,5.3,2.30217288664427
745,NA,45,NA,14.3333333333333,3.78593889720018
746,0,0,0,NA,NA
747,NA,64,NA,NA,NA
748,6,40,6.66666666666667,3.86666666666667,1.96638416050035
749,5,76,15.2,15.2,3.89871773792359
750,2,12,6,2,1.4142135623731
