"Envelope_ID","Fruit_num_counted","Total_seeds_counted","Seeds_per_fruit","seed_counted_in_solo_fruit","Seed_var","Seed_stdev","Fertilized_not_viable"
439,5,24,4.8,3,0.5,0.707106781186548,"Y"
440,11,4,0.363636363636364,4,0.333333333333333,0.577350269189626,"N"
441,2,14,7,14,8,2.82842712474619,"N"
442,1,2,2,2,NA,NA,"N"
443,6,171,28.5,81,37,6.08276253029822,"N"
444,5,27,5.4,27,6.8,2.60768096208106,"N"
445,5,15,3,15,2.25,1.5,"N"
446,5,69,13.8,29,40.5,6.36396103067893,"N"
447,4,19,4.75,0,NA,NA,"N"
448,5,47,9.4,0,NA,NA,"N"
449,4,153,38.25,0,NA,NA,"N"
450,4,83,20.75,34,2,1.4142135623731,"N"
451,2,28,14,0,NA,NA,"N"
452,5,198,39.6,198,133.3,11.5455619178973,"N"
455,23,457,19.8695652173913,0,NA,NA,"N"
458,4,121,30.25,0,NA,NA,"N"
460,5,58,11.6,58,16.3,4.03732584763727,"N"
462,4,46,11.5,46,7,2.64575131106459,"N"
463,5,12,2.4,12,0.8,0.894427190999916,"N"
464,5,78,15.6,0,NA,NA,"N"
465,5,30,6,1,NA,NA,"N"
466,5,62,12.4,21,1,1,"N"
468,5,39,7.8,6,NA,NA,"N"
469,6,142,23.6666666666667,39,0.5,0.707106781186548,"N"
470,6,42,7,42,57.6666666666667,7.59385716659634,"Y"
471,4,33,8.25,0,NA,NA,"Y"
472,5,39,7.8,39,5.2,2.28035085019828,"Y"
473,14,50,3.57142857142857,0,NA,NA,"Y"
474,5,50,10,6,NA,NA,"N"
475,5,43,8.6,43,9.3,3.04959013639538,"N"
476,5,29,5.8,0,NA,NA,"Y"
477,5,29,5.8,29,1.58333333333333,1.25830573921179,"N"
478,4,19,4.75,3,NA,NA,"N"
479,4,82,20.5,0,NA,NA,"N"
480,8,22,2.75,0,NA,NA,"N"
481,5,41,8.2,0,NA,NA,"N"
482,8,36,4.5,36,76.6666666666667,8.75595035770913,"N"
485,6,42,7,13,4.5,2.12132034355964,"N"
488,5,110,22,0,NA,NA,"N"
490,5,38,7.6,0,NA,NA,"N"
491,5,50,10,50,15,3.87298334620742,"N"
492,11,38,3.45454545454545,38,3.95238095238095,1.98805959477601,"Y"
493,7,128,18.2857142857143,38,72,8.48528137423857,"N"
494,4,94,23.5,94,70.3333333333333,8.38649708360608,"N"
495,6,121,20.1666666666667,121,26.9666666666667,5.19294393062997,"Y"
