Page,Date,Person_ID,Envelope_ID,Viable_seeds(Y/N/Mix),Notes,
50,01-06-2016,Maggie,345,No seeds,"""no fruit"" on tag",
50,01-06-2016,Maggie,178,No seeds,"""no fruit"" on tag",
50,01-06-2016,Maggie,243,No seeds,"""no fruit"" on tag",
50,01-06-2016,Maggie,129,Y,"1 good fruit, rest are aborted",
50,01-06-2016,Maggie,18,No seeds,,
50,01-06-2016,Maggie,684,Y,,
50,01-06-2016,Maggie,696,Y,,
50,01-06-2016,Maggie,372,Y,,
50,01-06-2016,Maggie,594,Y,,
50,01-06-2016,Maggie,268,Y,,
50,01-06-2016,Maggie,693,Y,,
50,01-06-2016,Maggie,52,Y,,
51,01-06-2016,Maggie,735,N,,
51,01-06-2016,Michael,735,N,repeat,
51,01-06-2016,Michael,303,Y,1 single seed inside,
51,01-06-2016,Michael,300,Y,,
51,01-06-2016,Michael,236,Y,seeds small but okay,
51,01-06-2016,Michael,60,N,,
51,01-06-2016,Michael,67,Y,,
51,01-06-2016,Michael,455,Y,,
51,01-06-2016,Michael,500,Y,seeds small but okay,
51,01-06-2016,Michael,247,Y,,
51,01-06-2016,Michael,261,Y,,
52,01-06-2016,Michael,261,Y,repeat,
52,01-06-2016,Michael,715,Y,,
52,01-06-2016,Michael,135,N,,
52,01-06-2016,Michael,316,N,,
52,01-06-2016,Michael,83,N,,
52,01-06-2016,Michael,384,N,,
52,01-06-2016,Michael,221,N,,
52,01-06-2016,Michael,353,N,,
52,01-06-2016,Michael,385,N,empty envelope,
53,01-06-2016,Michael,385,N,repeat,
53,01-06-2016,Michael,744,Y,,
53,01-06-2016,Michael,191,N,"Seeds very small, *may* just be very small but seem aborted",
53,01-06-2016,Michael,134,Y,,
53,01-06-2016,Michael,437,N,,
53,01-06-2016,Michael,428,No fruit,"""No fruit"" on tag",
53,01-06-2016,Michael,586,Y,,
53,01-06-2016,Michael,210,Y,"Fruit slightly small, but ok",
53,01-06-2016,Michael,233,Y,,
53,01-06-2016,Michael,603,Y,,
53,01-06-2016,Michael,116,N,Fruit too small,
54,01-06-2016,Michael,544,Y,,
54,01-06-2016,Michael,19,Y,,
54,01-06-2016,Michael,399,"""0 fruit""",,
54,01-06-2016,Michael,566,Y,,
54,01-06-2016,Michael,589,Y,"Some seeds small, but ok",
54,01-06-2016,Michael,606,Y,,
54,01-06-2016,Michael,533,Y,,
55,02-06-2016,Maggie,728,Y,,
55,02-06-2016,Maggie,412,Y,,
55,02-06-2016,Maggie,271,Y,Seeds small but ok,
55,02-06-2016,Maggie,297,Y,,
55,02-06-2016,Maggie,403,Y,,
55,02-06-2016,Maggie,534,,,
55,02-06-2016,Maggie,577,Y,,
56,02-06-2016,Maggie,335,Y,,
56,02-06-2016,Maggie,599,Y,,
56,02-06-2016,Maggie,709,Y,,
56,02-06-2016,Maggie,278,Y,"some good seeds, most aborted",
56,02-06-2016,Maggie,55,Y,,
56,02-06-2016,Maggie,496,Y,"some good seeds, most aborted",
56,02-06-2016,Maggie,329,Y,"some good seeds, most aborted",
56,02-06-2016,Maggie,567,Y,,
56,02-06-2016,Maggie,630,Y,"some good seeds, most aborted",
56,02-06-2016,Maggie,444,,repeat,
57,02-06-2016,Maggie,444,Y,,
