Envelope_ID,PopName,Pop_ID,PopCode,PopCode2,Date_collected,stems,Clump_size,Flower_number,Fruit_number,Secondary_branches,Notes,Seed number
14,Pumphouse Marsh,D9,ON.D9,ON.D9,25-10-15,1,,345,345,14,,
452,Pumphouse Marsh,D9,ON.D9,ON.D9,25-10-15,1,,360,360,16,,
488,Pumphouse Marsh,D9,ON.D9,ON.D9,25-10-15,1,,490,490,17,,
539,Pumphouse Marsh,D9,ON.D9,ON.D9,25-10-15,1,,460,460,14,,
521,Pumphouse Marsh,D9,ON.D9,ON.D9,25-10-15,1,,215,215,12,,
401,Pumphouse Marsh,D9,ON.D9,ON.D9,25-10-15,1,,20,20,0,,
305,Pumphouse Marsh,D9,ON.D9,ON.D9,25-10-15,1,,210,210,16,,
321,Pumphouse Marsh,D9,ON.D9,ON.D9,25-10-15,1,,40,40,4,,
123,Pumphouse Marsh,D9,ON.D9,ON.D9,25-10-15,1,,180,180,10,,
306,Pumphouse Marsh,D9,ON.D9,ON.D9,25-10-15,1,,295,295,10,,
96,Pumphouse Marsh,D9,ON.D9,ON.D9,25-10-15,1,,65,65,6,,
346,Bewdley A,D5,ON.D5,ON.D5,30-10-15,stema,,300,280,10,2 stems this is first,parasites in population. Cuscuta americana
346,Bewdley A,D5,ON.D5,ON.D5,30-10-15,stemb,,30,30,0,2 stems this is second,
313,Bewdley A,D5,ON.D5,ON.D5,30-10-15,1,,80,80,10,parasite on plant,
392,Bewdley A,D5,ON.D5,ON.D5,30-10-15,1,,140,135,12,,
120,Bewdley A,D5,ON.D5,ON.D5,30-10-15,1,5,87,85,0,,
524,Bewdley A,D5,ON.D5,ON.D5,30-10-15,stema,,115,115,5,2 stems this is first,
524,Bewdley A,D5,ON.D5,ON.D5,30-10-15,stemb,,100,100,0,2 stems this is second,
614,Bewdley A,D5,ON.D5,ON.D5,30-10-15,1,,187,187,6,,
9,Bewdley A,D5,ON.D5,ON.D5,30-10-15,1,,265,265,14,,
225,Bewdley A,D5,ON.D5,ON.D5,30-10-15,1,,425,425,17,,
159,Bewdley A,D5,ON.D5,ON.D5,30-10-15,1,,85,85,5,,
39,Bewdley A,D5,ON.D5,ON.D5,30-10-15,1,15,95,90,7,small fruit,
307,Bewdley A,D5,ON.D5,ON.D5,30-10-15,stema,,165,165,8,,
307,Bewdley A,D5,ON.D5,ON.D5,30-10-15,stemb,,45,45,4,,
519,Bewdley A,D5,ON.D5,ON.D5,30-10-15,1,15,155,155,4,,
464,Bewdley A,D5,ON.D5,ON.D5,30-10-15,1,8,215,215,21,,
635,Bewdley A,D5,ON.D5,ON.D5,30-10-15,1,6,285,285,10,,
545,Bewdley A,D5,ON.D5,ON.D5,30-10-15,1,3,25,25,6,Only 2 of the secondary branches have flowers,
578,Bewdley A,D5,ON.D5,ON.D5,30-10-15,1,20,5,5,14,parasite on plant,
611,Bewdley A,D5,ON.D5,ON.D5,30-10-15,1,,110,110,14,6 secondary branches with flowers,
72,Bewdley A,D5,ON.D5,ON.D5,30-10-15,1,20,20,20,9,Only 2 secondary branches with flowers,
189,Bewdley A,D5,ON.D5,ON.D5,30-10-15,1,,100,100,10,,
97,Bewdley A,D5,ON.D5,ON.D5,30-10-15,1,,30,30,7,parasite on plant,
127,Bewdley A,D5,ON.D5,ON.D5,30-10-15,1,,125,125,6,,
70,Bewdley A,D5,ON.D5,ON.D5,30-10-15,1,12,55,55,0,parasite on plant,
40,Bewdley A,D5,ON.D5,ON.D5,30-10-15,1,4,5,5,12,this is the sole stem with flowers. Parasite on plants,
192,Bewdley A,D5,ON.D5,ON.D5,30-10-15,1,6,35,35,0,this is the only flowering stem in the clump and only one not smothered by parasite,
168,Bewdley A,D5,ON.D5,ON.D5,30-10-15,1,12,38,38,9,,
217,Bewdley A,D5,ON.D5,ON.D5,30-10-15,1,12,165,165,10,,
