Page,Photo_num,Date,Person_ID,Photo,Envelope_ID,Fruit_ID,Seed_number,Fertilized_not_viable,NonViable_seeds,Notes,Notes2,Notes3
13,,27-01-2016,Rebecca,N,181,4,3,N,Y,3 SEEDS,,
13,,27-01-2016,Rebecca,Y,4,1-5,24,N,Y,LARGE FRUITS WITH RELATIVELY FEW SEEDS,,updated oct 2017
13,,27-01-2016,Rebecca,N,358,1-3,14,N,Y,14 SEEDS,,
13,,27-01-2016,Rebecca,N,358,4,0,N,Y,,,
13,,27-01-2016,Rebecca,N,358,5,0,N,Y,,,
13,,27-01-2016,Rebecca,N,358,6,2,N,Y,2 SEEDS,,
13,,27-01-2016,Rebecca,Y,401,1,54,N,N,VERY LARGE FRUITS,,updated oct 2017
13,,27-01-2016,Rebecca,Y,401,2,60,N,N,,,updated oct 2017
13,,27-01-2016,Rebecca,Y,401,3,61,N,N,,,updated oct 2017
13,,27-01-2016,Rebecca,Y,401,4,0,Y,N,LATE ABORTED,,updated oct 2017
13,,27-01-2016,Rebecca,Y,401,5,0,Y,Y,LATE ABORTED,,updated oct 2017
13,,27-01-2016,Rebecca,N,623,1,0,N,Y,0 SEEDS,,
13,,27-01-2016,Rebecca,N,623,2,4,N,Y,4 SEEDS,,
13,,27-01-2016,Rebecca,N,623,3,12,N,Y,12 SEEDS,,
13,,27-01-2016,Rebecca,N,623,4,0,N,Y,0 SEEDS,,
13,,27-01-2016,Rebecca,N,193,1,0,Y,Y,SMALL FRUITS WIDE SAMPLE HAS NO VIABLE SEEDS,,
13,,27-01-2016,Rebecca,N,193,2,0,N,Y,,,
13,,27-01-2016,Rebecca,N,193,3,0,N,Y,,,
13,,27-01-2016,Rebecca,N,193,4,0,N,Y,,,
13,,27-01-2016,Rebecca,N,193,5,0,N,Y,,,
13,,27-01-2016,Rebecca,N,193,6,0,N,Y,,,
13,,27-01-2016,Rebecca,N,193,7,0,N,Y,,,
14,,02-02-2016,Rebecca,Y,185,1-6,263,N,Y,,,updated count oct 2017
14,,02-02-2016,Rebecca,Y,63,1,28,N,Y,,,updated count oct 2017
14,,02-02-2016,Rebecca,N,63,2,25,N,Y,25 SEEDS,,
14,P1,02-02-2016,Rebecca,Y,63,3,0,Y,Y,LATE ABORTED,"2PHOTOS of the same thing, deleted extra photo",updated count oct 2017
14,,02-02-2016,Rebecca,Y,63,4,0,Y,Y,LATE ABORTED,,updated count oct 2017
14,,02-02-2016,Rebecca,N,63,5,22,N,Y,22 SEEDS,,
14,,02-02-2016,Rebecca,Y,63,6,0,Y,Y,LATE ABORTED,,updated count oct 2017
14,,02-02-2016,Rebecca,N,63,7,12,N,Y,12 SEEDS,,
14,,02-02-2016,Rebecca,Y,252,1-6,158,N,Y,,,updated count oct 2017
14,,02-02-2016,Rebecca,Y,386,1-4,123,N,Y,,,updated count oct 2017
14,,02-02-2016,Rebecca,Y,718,1-3,40,N,Y,,,updated count oct 2017
14,,02-02-2016,Rebecca,N,718,4,12,N,Y,12 SEEDS,,
14,,02-02-2016,Rebecca,N,718,5,8,N,Y,8 SEEDS,,
14,P1,03-02-2016,Rebecca,Y,49,1-4,57,N,Y,,"2 photos of same image, deleted first photo",updated oct 2017
14,,03-02-2016,Rebecca,N,49,5,4,N,Y,4 SEEDS,,
14,,03-02-2016,Rebecca,N,69,1,24,N,Y,24 SEEDS,,
14,,03-02-2016,Rebecca,Y,69,2,12,N,Y,,,updated oct 2017
14,,03-02-2016,Rebecca,Y,69,3,26,Y,Y,LATE ABORTED,,updated oct 2017
14,,03-02-2016,Rebecca,Y,69,4,0,Y,Y,LATE ABORTED,,updated oct 2017
14,,03-02-2016,Rebecca,Y,69,5,20,Y,Y,LATE ABORTED,,updated oct 2017
